1913,3,3/7/1913,24,Shops Act 1913 c. 24,"An Act to amend the Shops Act, 1912, in its application to premises for the sale of refreshments",15,1599
1913,3,3/7/1913,25,Tuberculosis Prevention (Ireland) Act 1913 c. 25,An Act to prevent the Spread and provide for the Treatment of Tuberculosis; and for other purposes connected therewith,3,331
1913,3,3/7/1913,26,"Pensions (Governors of Dominions, &c.) Amendment Act, 1913 c. 26","An Act to amend subsection (1) of section five of the Pensions (Governors of Dominions, &c.) Act, 1911, with respect to service in British Protectorates and other like service",19,1929
1913,3,3/7/1913,27,"Appropriation (1912-3) Act, 1913 c. 27","An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March one thousand nine hundred and thirteen, and to appropriate the Supplies granted in this Session of Parliament",1,105
1913,3,3/7/1913,28,Sheriff Courts (Scotland) Act 1913 c.28,"An Act to amend the Sheriff Courts (Scotland) Act, 1907",12,1204
1913,3,3/7/1913,29,"Railway and Canal Traffic Act, 1913 c. 29","An Act to amend Section One of the Railway and Canal Traffic Act, 1894, with respect to increases of rates or charges made for the purpose of meeting a rise in the cost of working a railway due to improved labour conditions",10,1000
1913,3,3/7/1913,30,Trade Union Act 1913 c. 30,An Act to amend the Law with respect to the objects and powers of Trade Unions,5,504
1913,3,3/7/1913,31,"Pilotage Act, 1913 c. 31",An Act to consolidate and amend the Law relating to Pilotage,10,1007
1913,3,3/28/1913,1,"Consolidated Fund (No. 1) Act, 1913 c. 1",An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March one thousand nine hundred and fourteen,1,105
1913,3,4/25/1913,2,"Army (Annual) Act, 1913 c. 2","An Act to provide, during Twelve Months, for the Discipline and Regulation of the Army.",16,1608
1913,3,4/25/1913,3,"Provisional Collection of Taxes Act, 1913 c. 3","An Act to give statutory effect for a limited period to resolutions varying or renewing taxation, and to make provision with respect to payments and deductions made on account of any temporary tax between the dates of the expiration and renewal of the tax",1,107
1913,3,4/25/1913,4,Prisoners (Temporary Discharge for Ill Health) Act 1913 c. 4,An Act to provide for the Temporary Discharge of Prisoners whose further detention in prison is undesirable on account of the condition of their Health,12,1205
1913,3,7/4/1913,5,"Consolidated Fund (No. 2) Act, 1913 c. 5",An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March one thousand nine hundred and fourteen,1,105
